OBJECTID,TRACT,GEOID,pop_percent,total_pop,white,black,american_indian,asian,pacific_islander,other,hispanic,ALAND,AWATER,STUSAB,SUMLEV,GEOCODE,STATE,NAME,SHAPEAREA,SHAPELEN
135,7806,11001007806,0.00501345089878108,3457,124,3064,23,9,4,116,194,671434,0,DC,140,11001007806,11,Census Tract 78.06,0,0
136,7807,11001007807,0.003065789759914146,2114,50,1909,7,15,0,67,120,522749,0,DC,140,11001007807,11,Census Tract 78.07,0,0
137,7808,11001007808,0.005499278509741932,3792,70,3450,23,17,1,120,177,936852,7722,DC,140,11001007808,11,Census Tract 78.08,0,0
138,7809,11001007809,0.004575480933079059,3155,71,2760,12,15,0,116,181,535254,0,DC,140,11001007809,11,Census Tract 78.09,0,0
139,7901,11001007901,0.006015560985867492,4148,1096,2603,26,87,0,70,198,402041,0,DC,140,11001007901,11,Census Tract 79.01,0,0
140,7903,11001007903,0.0027046820729611557,1865,539,1111,11,56,1,29,90,247945,0,DC,140,11001007903,11,Census Tract 79.03,0,0
141,8001,11001008001,0.004500068886004539,3103,1882,808,9,83,0,44,207,322795,0,DC,140,11001008001,11,Census Tract 80.01,0,0
142,8002,11001008002,0.00488147981640067,3366,2216,688,5,113,5,62,193,578961,0,DC,140,11001008002,11,Census Tract 80.02,0,0
143,8100,11001008100,0.004572580469730039,3153,2443,245,1,145,1,49,200,290284,0,DC,140,11001008100,11,Census Tract 81,0,0
144,8200,11001008200,0.003908374362804458,2695,2135,184,7,104,0,40,183,338424,0,DC,140,11001008200,11,Census Tract 82,0,0
145,8301,11001008301,0.00466974599192221,3220,2313,380,9,188,2,48,219,303973,0,DC,140,11001008301,11,Census Tract 83.01,0,0
146,8302,11001008302,0.004388401047067269,3026,2139,443,7,126,2,54,190,260891,0,DC,140,11001008302,11,Census Tract 83.02,0,0
147,8402,11001008402,0.0035487169075259775,2447,1429,711,5,68,1,48,176,274180,0,DC,140,11001008402,11,Census Tract 84.02,0,0
148,8410,11001008410,0.0026727769761219354,1843,887,637,8,126,0,31,117,219939,0,DC,140,11001008410,11,Census Tract 84.10,0,0
149,8701,11001008701,0.004080951932071149,2814,1032,1323,9,144,0,65,210,382686,0,DC,140,11001008701,11,Census Tract 87.01,0,0
150,8702,11001008702,0.0051831280046987505,3574,1312,1565,15,202,6,153,340,486411,0,DC,140,11001008702,11,Census Tract 87.02,0,0
151,8802,11001008802,0.006323010100863613,4360,1297,2404,23,126,8,197,374,468578,0,DC,140,11001008802,11,Census Tract 88.02,0,0
152,8803,11001008803,0.005853135038322372,4036,1281,1970,28,191,13,294,451,1168294,0,DC,140,11001008803,11,Census Tract 88.03,0,0
153,8804,11001008804,0.0035052099572906773,2417,426,1626,21,42,1,123,253,778052,0,DC,140,11001008804,11,Census Tract 88.04,0,0
154,8903,11001008903,0.004440609387349629,3062,440,2255,9,45,1,153,260,305651,0,DC,140,11001008903,11,Census Tract 89.03,0,0
155,8904,11001008904,0.0045493767629378795,3137,215,2549,14,37,0,179,292,449343,0,DC,140,11001008904,11,Census Tract 89.04,0,0
156,9000,11001009000,0.006781283310008774,4676,285,3853,14,133,2,101,277,1427114,31550,DC,140,11001009000,11,Census Tract 90,0,0
157,9102,11001009102,0.006682667556142094,4608,546,3481,15,74,0,215,375,1816287,0,DC,140,11001009102,11,Census Tract 91.02,0,0
158,9201,11001009201,0.004500068886004539,3103,1405,965,16,165,8,242,454,629781,0,DC,140,11001009201,11,Census Tract 92.01,0,0
159,9203,11001009203,0.004024392896765258,2775,823,1559,9,100,3,74,226,581087,0,DC,140,11001009203,11,Census Tract 92.03,0,0
160,9204,11001009204,0.0041897193076593986,2889,320,1747,23,34,0,557,750,308465,0,DC,140,11001009204,11,Census Tract 92.04,0,0
161,9301,11001009301,0.0055877426418870415,3853,1401,1782,23,135,4,120,287,1109091,0,DC,140,11001009301,11,Census Tract 93.01,0,0
162,9302,11001009302,0.002537905430392505,1750,601,744,6,66,2,137,267,391905,0,DC,140,11001009302,11,Census Tract 93.02,0,0
163,9400,11001009400,0.006415824928032253,4424,959,2859,21,71,0,164,358,1582882,0,DC,140,11001009400,11,Census Tract 94,0,0
164,9503,11001009503,0.004504419581028069,3106,782,1888,7,76,3,97,198,1423609,0,DC,140,11001009503,11,Census Tract 95.03,0,0
165,9504,11001009504,0.0046523432118280895,3208,909,1751,12,104,1,164,307,1033168,0,DC,140,11001009504,11,Census Tract 95.04,0,0
166,9505,11001009505,0.005505079436439971,3796,426,2652,12,101,5,318,521,1033208,0,DC,140,11001009505,11,Census Tract 95.05,0,0
167,9507,11001009507,0.0022116033036277544,1525,133,1074,8,24,0,180,271,295290,0,DC,140,11001009507,11,Census Tract 95.07,0,0
168,9508,11001009508,0.0061533329949459425,4243,582,2708,30,145,1,425,714,962212,0,DC,140,11001009508,11,Census Tract 95.08,0,0
169,9509,11001009509,0.00463203996838495,3194,454,2271,20,71,0,127,330,648848,0,DC,140,11001009509,11,Census Tract 95.09,0,0
170,9510,11001009510,0.006562298327157764,4525,338,2442,87,57,3,1176,1693,841510,0,DC,140,11001009510,11,Census Tract 95.10,0,0
171,9511,11001009511,0.0029961786395376663,2066,670,607,13,98,18,578,647,719468,0,DC,140,11001009511,11,Census Tract 95.11,0,0
172,9601,11001009601,0.0030251832730278662,2086,65,1880,5,1,0,53,72,1905262,189666,DC,140,11001009601,11,Census Tract 96.01,0,0
173,9602,11001009602,0.006498488133479323,4481,70,4137,8,34,3,56,145,1306709,67073,DC,140,11001009602,11,Census Tract 96.02,0,0
174,9603,11001009603,0.0057588699794792215,3971,106,3439,38,17,0,213,323,607400,0,DC,140,11001009603,11,Census Tract 96.03,0,0
175,9604,11001009604,0.002894662422321966,1996,139,1653,8,4,6,97,143,503381,65762,DC,140,11001009604,11,Census Tract 96.04,0,0
176,9700,11001009700,0.004623338578337889,3188,23,3018,9,4,0,27,68,403051,3427,DC,140,11001009700,11,Census Tract 97,0,0
177,9801,11001009801,0.0026800281344944855,1848,17,1741,14,6,0,18,30,431384,7884,DC,140,11001009801,11,Census Tract 98.01,0,0
178,9802,11001009802,0.002993278176188646,2064,13,1961,6,3,0,22,51,200745,0,DC,140,11001009802,11,Census Tract 98.02,0,0
179,9803,11001009803,0.004304287609945689,2968,43,2689,45,21,0,47,84,531060,3756,DC,140,11001009803,11,Census Tract 98.03,0,0
180,9804,11001009804,0.0036502331247416776,2517,44,2258,6,18,0,93,136,518363,5609,DC,140,11001009804,11,Census Tract 98.04,0,0
181,9807,11001009807,0.005109166189298741,3523,54,3245,6,7,0,48,103,1037012,0,DC,140,11001009807,11,Census Tract 98.07,0,0
182,9810,11001009810,0.0035690201509691174,2461,25,2304,4,5,0,27,50,398419,14058,DC,140,11001009810,11,Census Tract 98.10,0,0
183,9811,11001009811,0.006436128171475393,4438,25,4225,5,4,4,30,70,467511,0,DC,140,11001009811,11,Census Tract 98.11,0,0
184,9901,11001009901,0.003428347678541647,2364,166,1986,9,23,1,35,80,2102150,0,DC,140,11001009901,11,Census Tract 99.01,0,0
185,9902,11001009902,0.004022942665090748,2774,62,2562,15,7,3,21,69,1294556,0,DC,140,11001009902,11,Census Tract 99.02,0,0
186,9903,11001009903,0.002906264275718046,2004,58,1843,0,3,2,23,58,383679,0,DC,140,11001009903,11,Census Tract 99.03,0,0
187,9904,11001009904,0.004185368612635868,2886,67,2504,3,6,0,190,257,426198,0,DC,140,11001009904,11,Census Tract 99.04,0,0
188,9905,11001009905,0.004046146371882909,2790,53,2557,15,2,1,59,108,431558,0,DC,140,11001009905,11,Census Tract 99.05,0,0
189,9906,11001009906,0.0025712607589062353,1773,62,1547,10,8,0,59,114,252684,0,DC,140,11001009906,11,Census Tract 99.06,0,0
190,9907,11001009907,0.003276073352718097,2259,35,2127,7,3,1,29,46,466954,0,DC,140,11001009907,11,Census Tract 99.07,0,0
191,10100,11001010100,0.003914175289502498,2699,1525,388,4,408,4,104,324,579230,0,DC,140,11001010100,11,Census Tract 101,0,0
192,10201,11001010201,0.00484522402453792,3341,1793,853,11,233,0,94,342,174884,0,DC,140,11001010201,11,Census Tract 102.01,0,0
193,10202,11001010202,0.003815559535635818,2631,1437,647,10,209,1,82,215,1069479,136323,DC,140,11001010202,11,Census Tract 102.02,0,0
194,10300,11001010300,0.005226634954934051,3604,720,1865,24,78,4,554,873,1084591,0,DC,140,11001010300,11,Census Tract 103,0,0
195,10400,11001010400,0.006694269409538173,4616,125,4246,8,3,0,72,130,2602393,7006,DC,140,11001010400,11,Census Tract 104,0,0
196,10500,11001010500,0.005383259975781131,3712,1487,1553,17,241,2,99,278,749891,0,DC,140,11001010500,11,Census Tract 105,0,0
197,10601,11001010601,0.0030889934667063064,2130,1142,503,5,204,2,62,199,224811,0,DC,140,11001010601,11,Census Tract 106.01,0,0
198,10602,11001010602,0.00956282766171896,6594,3826,1549,7,423,2,201,533,542509,0,DC,140,11001010602,11,Census Tract 106.02,0,0
