PARTPOP2,PRTOVR185,PRTUND185,PERCENTUND185,GIS_ID,GLOBALID,OBJECTID
330,278,52,0.15757576,LowFoodAccessPly_72,{313FEA89-5627-48E3-B3C7-0E5A00EBC00A},117
416,401,15,0.03605769,LowFoodAccessPly_73,{AC44A599-EB85-4363-AD51-E8E1D71054C2},118
629,351,277,0.44038156,LowFoodAccessPly_74,{D5FC366E-D788-43EE-914F-96442086A204},119
690,540,150,0.2173913,LowFoodAccessPly_75,{AE565932-EEA0-4996-A9CD-8DC492BFF418},120
2090,1544,545,0.26076555,LowFoodAccessPly_76,{FAD690EA-71E8-4078-8204-36E0C07E7090},121
506,420,86,0.16996047,LowFoodAccessPly_77,{66D0DA49-BFBD-480A-80DB-ACCAD31300F6},122
2037,1415,623,0.30584192,LowFoodAccessPly_78,{C7A3D098-5779-4938-8AAE-7FDF270F984C},123
1722,1487,235,0.13646922,LowFoodAccessPly_79,{7AF42D5F-BA2A-4155-80A7-78A8DE980569},124
496,496,0,0,LowFoodAccessPly_80,{389426C9-1E68-44FA-AE4F-1CE312372516},125
242,194,48,0.19834711,LowFoodAccessPly_81,{A8626C31-2E13-4612-9377-74D160F061B1},126
11,9,2,0.18181819,LowFoodAccessPly_82,{21273465-1A06-48DD-94D4-3162D876D082},127
1521,1005,516,0.3392505,LowFoodAccessPly_189,{49DD9F80-2CA0-47E8-A708-F4D786803BE6},128
672,603,69,0.10267857,LowFoodAccessPly_190,{D2E9B182-2787-4CFA-9368-971D0D26BE4B},129
1638,1034,604,0.36874238,LowFoodAccessPly_191,{D54014E5-1EF2-4986-A0A6-31166231B14C},130
1002,615,387,0.38622755,LowFoodAccessPly_192,{E4C32DC1-2687-4A2F-A101-8E7CB3C4D3C2},131
872,737,134,0.15366973,LowFoodAccessPly_193,{5056E910-6B11-4572-A719-80C4F2FCFEBE},132
15,12,3,0.2,LowFoodAccessPly_194,{076DBBDE-E352-4CB6-B352-9DB053FE08F1},133
834,760,74,0.08872902,LowFoodAccessPly_195,{0E00DFA6-ADE5-4B9D-A754-B2DB50D8BDF0},134
454,292,161,0.35462555,LowFoodAccessPly_196,{63815C01-2995-4C87-BD69-682DB7CE81A5},135
299,270,29,0.09698997,LowFoodAccessPly_197,{A3CEDAAD-2847-439E-B318-83CF1FF7986C},136
1547,1473,74,0.04783452,LowFoodAccessPly_198,{8A858CD3-030F-452B-9336-1C671205CDEB},137
370,320,50,0.13513513,LowFoodAccessPly_199,{8AD4D855-FB5F-452C-9773-AE3EECE1ADB9},138
1102,712,391,0.35480943,LowFoodAccessPly_200,{DFC6B7E4-C091-4C05-B1F7-986492F8AF4A},139
1486,1000,486,0.3270525,LowFoodAccessPly_201,{6080C171-6614-4E2D-89D4-C025FE120AEF},140
1390,955,435,0.31294963,LowFoodAccessPly_128,{6A5679C9-C8A0-4D08-8A8C-FF50230199CD},141
1614,1386,228,0.14126395,LowFoodAccessPly_129,{708FE79F-307C-4958-B69F-9EC72011C635},142
946,763,183,0.19344608,LowFoodAccessPly_130,{A1F908D8-0BE0-472E-BF74-32EA4B2DCDBF},143
489,448,41,0.08384458,LowFoodAccessPly_131,{51B95CAE-08B6-4856-A2B9-FED62B6EA316},144
1624,1259,365,0.22475369,LowFoodAccessPly_132,{E4771779-619E-498A-B8AD-842FF923B9AA},145
56,43,13,0.23214285,LowFoodAccessPly_133,{B12FB456-669A-460E-AA26-25E5233FFAB6},146
636,532,105,0.16509435,LowFoodAccessPly_142,{C80B31C4-FE11-498B-870A-B6E47686A1F9},147
493,416,77,0.15618661,LowFoodAccessPly_143,{5AF752CE-4E40-414B-9AA8-81D94FA75D29},148
914,742,172,0.18818381,LowFoodAccessPly_144,{DB9A81CD-44B1-4814-AEEF-011222B4EA6B},149
830,729,100,0.12048193,LowFoodAccessPly_145,{7C8DE7E6-52AD-4561-A1BF-90A0B63BD78F},150
1954,1242,712,0.36438075,LowFoodAccessPly_146,{B8458B52-8630-4049-ABE4-65123BF467DB},151
1281,630,651,0.50819671,LowFoodAccessPly_147,{126D6562-0029-407B-A0CD-8005C8382E2F},152
934,583,352,0.37687367,LowFoodAccessPly_148,{872F0114-ABF1-4800-BF7D-D77376C5A777},153
1417,1180,237,0.16725476,LowFoodAccessPly_149,{647C3414-8491-4377-8094-B3D452A94C4E},154
268,260,8,0.02985075,LowFoodAccessPly_150,{706757C7-B880-41D5-A157-9B5DEA7E34C9},155
1667,1496,171,0.10257948,LowFoodAccessPly_151,{6072F835-8269-49B9-A3A8-D86F32DFD072},156
1224,1028,196,0.16013072,LowFoodAccessPly_152,{2E6B6181-0341-49D2-A3CA-2869E0AC042F},157
129,74,56,0.43410853,LowFoodAccessPly_153,{BA826B00-1BDC-44F6-AAB4-8104454F23B8},158
1116,615,501,0.44892472,LowFoodAccessPly_154,{185BAC03-DD41-4D49-94D9-F63A32FB4654},159
1665,822,843,0.50630629,LowFoodAccessPly_155,{AA488E49-11F9-49A1-9EC4-020EFFB4706E},160
554,329,225,0.4061372,LowFoodAccessPly_156,{8CA478BF-DEAE-41CA-ABFB-3E48830D6FDB},161
560,140,420,0.75,LowFoodAccessPly_157,{E47961D0-0338-4DF3-9F2A-F9D4CB2E986B},162
1326,1086,239,0.18024133,LowFoodAccessPly_158,{44B9D50F-C4A2-4C79-89EE-0784B7F6F1DB},163
100,61,39,0.38999999,LowFoodAccessPly_159,{2438B052-D5CE-44BD-848E-08CE5672A8AF},164
968,906,62,0.06404959,LowFoodAccessPly_160,{F01A9904-F2E0-484E-8E4D-08D93265F625},165
220,200,20,0.09090909,LowFoodAccessPly_161,{94488532-D013-4834-AF38-AD10739085E1},166
